gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
A1BG	154	497	81	169	181	214
A1CF	9	1	0	0	2	1
A2BP1	0	0	0	0	1	1
A2LD1	68	271	52	147	241	120
A2ML1	2	0	0	1	1	3
A2M	4	0	0	1	9	8
A4GALT	88	670	95	380	466	1823
A4GNT	1	0	0	21	0	7
AAA1	0	1	0	0	1	0
AAAS	2022	1189	1178	1858	1392	1609
AACSL	1	6	0	0	0	0
AACS	1219	901	1623	2069	898	1075
AADACL2	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
AADACL4	0	5	0	0	0	0
AADAC	279	0	0	0	0	0
AADAT	179	518	451	208	225	389
AAGAB	1535	2828	1981	1697	1560	1212
AAK1	1958	1497	2689	1913	1980	2340
AAMP	4702	4522	2946	3245	2821	2987
AANAT	3	11	3	2	1	3
AARS2	926	597	734	1050	1249	928
AARSD1	473	1002	768	659	822	753
AARS	7485	12069	8710	9387	2747	2893
AASDHPPT	1758	3561	2678	2479	1983	1723
AASDH	222	589	512	543	522	471
AASS	654	1674	1158	1537	852	549
AATF	2801	3453	2126	2371	1344	1993
AATK	10	11	11	13	17	8
ABAT	59	166	216	1286	1296	100
ABCA10	98	91	20	7	49	7
ABCA11P	136	220	143	262	169	217
ABCA12	2	1	4	19	339	40
ABCA13	74	221	8	4	117	43
ABCA17P	13	1	1	29	18	3
ABCA1	9702	1218	4761	2098	2764	4966
ABCA2	460	1200	1500	2547	3359	4233
ABCA3	1992	1032	3	1943	263	1261
ABCA4	7	44	82	21	319	95
ABCA5	55	270	309	338	513	240
ABCA6	11	9	4	2	11	6
ABCA7	331	804	630	1536	1876	349
ABCA8	43	50	0	132	8	33
ABCA9	8	4	8	0	47	2
ABCB10	1283	923	606	970	1032	915
ABCB11	17	0	0	1	0	0
ABCB1	196	793	6	388	75	175
ABCB4	3	6	1	3	6	191
ABCB5	0	0	0	49	11	0
ABCB6	909	718	1485	367	578	677
ABCB7	944	1143	631	759	1103	825
ABCB8	1514	983	1175	2090	1382	1099
ABCB9	304	106	334	285	581	443
ABCC10	1256	468	856	466	981	682
ABCC11	4	2	0	5	1	1
ABCC12	2	1	2	1	0	0
ABCC13	0	0	0	0	0	0
ABCC1	2908	3162	11613	8071	9874	5652
ABCC2	275	57	87	14	51	9
ABCC3	41	1437	16154	7560	8712	8351
ABCC4	1215	769	3587	1324	1201	1158
ABCC5	5302	841	1317	1414	866	567
ABCC6P1	14	2	17	1	55	14
ABCC6P2	9	12	13	12	55	21
ABCC6	16	24	153	130	113	131
ABCC8	0	0	0	0	0	0
ABCC9	487	1892	574	2	8	0
ABCD1	820	385	664	581	935	986
ABCD2	11	7	13	2	4	1
ABCD3	2334	2647	2134	1765	2306	1524
ABCD4	895	682	808	1138	582	1198
ABCE1	6848	9027	6598	4469	3751	3036
ABCF1	4797	2631	2177	3010	3341	2122
ABCF2	4728	4112	3170	4980	2710	2033
ABCF3	3044	1775	1849	1776	1789	1375
ABCG1	19	0	0	171	594	221
ABCG2	10	778	398	54	166	426
ABCG4	5	24	2	21	52	9
ABCG5	1	0	0	0	0	1
ABCG8	0	0	0	0	0	0
ABHD10	2005	1998	1190	843	1489	1058
ABHD11	526	955	512	721	486	450
ABHD12B	5	1	2	2	7	8
ABHD12	1655	2491	1175	6222	2613	2987
ABHD13	865	713	1252	1062	753	656
ABHD14A	217	623	456	226	662	344
ABHD14B	2475	4223	2161	2706	3883	1865
ABHD15	233	1143	552	637	643	628
ABHD1	6	0	3	12	10	1
ABHD2	6600	11646	15521	11180	5866	13888
ABHD3	652	570	497	405	430	280
ABHD4	1172	2760	4405	3336	1467	1665
ABHD5	1255	2383	1323	2072	1905	844
ABHD6	166	576	422	258	252	217
ABHD8	1206	2032	814	879	1143	1256
ABI1	3058	2248	2876	2556	1812	2704
ABI2	4968	5940	3429	4609	3928	4990
ABI3BP	890	3053	82	4500	4869	2990
ABI3	1	3	1	2	3	1
ABL1	6968	7198	7457	10329	7233	10095
ABL2	10090	4388	2288	3827	3046	3954
ABLIM1	1814	2	420	6191	5361	4310
ABLIM2	3	3	99	68	48	33
ABLIM3	65	2644	6522	887	10	1844
ABO	2	0	0	11	3	0
ABP1	0	0	0	1	2	3
ABRA	0	1	1	0	0	0
ABR	2830	8591	6376	4704	7085	5982
ABT1	1804	546	756	786	727	607
ABTB1	744	580	367	794	412	738
ABTB2	676	3325	4402	2316	1552	1625
ACAA1	616	1080	1708	1669	1376	1214
ACAA2	1184	855	7	1294	1774	2236
ACACA	2026	5159	3178	3315	2034	2494
ACACB	1787	337	370	599	301	409
ACAD10	556	611	827	1461	685	759
ACAD11	1100	663	1177	673	923	822
ACAD8	286	727	731	931	368	573
ACAD9	1467	1895	1203	1714	1459	1570
ACADL	0	1	16	7	43	30
ACADM	2720	1282	2527	1462	1132	1250
ACADSB	1661	991	764	904	681	835
ACADS	134	152	279	544	428	358
ACADVL	3970	4059	6500	10838	12385	12724
ACAN	1	0	0	0	0	0
ACAP1	16	11	4	25	25	23
ACAP2	4773	2827	4371	2827	2593	2770
ACAP3	735	1622	2352	1448	1495	1237
ACAT1	1167	2066	1350	1675	1772	1682
ACAT2	298	1614	342	679	398	590
ACBD3	5324	2871	2809	2602	5293	2812
ACBD4	98	410	196	616	316	486
ACBD5	1528	1702	1455	1704	1831	1708
ACBD6	1507	1642	1150	1368	2369	1189
ACBD7	272	87	60	250	234	379
ACCN1	0	0	0	76	84	82
ACCN2	190	452	309	660	330	162
ACCN3	35	40	34	72	48	14
ACCN4	0	5	1	7	1	1
ACCN5	1	0	2	0	1	0
ACCSL	0	0	0	0	0	0
ACCS	159	161	392	357	126	405
ACD	834	2583	705	682	253	658
ACE2	4	1	0	6	23	0
ACER1	1	0	3	0	0	1
ACER2	119	62	87	125	117	139
ACER3	1340	2124	1766	557	646	815
ACE	3	5	1	5	27	45
ACHE	175	8	0	92	10	6
ACIN1	6539	4488	5404	5817	4914	4916
ACLY	2	20217	10744	7483	7352	5778
ACMSD	2	0	0	0	3	0
ACN9	453	895	482	269	147	233
ACO1	1155	3858	5680	2761	2902	1562
ACO2	3621	3372	2913	1856	5083	3876
ACOT11	119	20	12	22	80	155
ACOT12	2	1	9	0	0	0
ACOT13	1882	415	1246	772	1149	545
ACOT1	214	260	158	242	132	80
ACOT2	1619	2242	607	979	1078	1261
ACOT4	11	10	11	78	9	11
ACOT6	0	2	0	0	0	1
ACOT7	6205	3752	2903	1155	1616	2392
ACOT8	496	887	385	1014	591	416
ACOT9	2427	2722	776	1608	1589	1386
ACOX1	1914	1335	877	1476	1208	1298
ACOX2	222	83	112	95	585	582
ACOX3	327	744	772	761	644	627
ACOXL	0	0	1	12	1	1
ACP1	4133	2047	3792	2614	2707	1984
ACP2	643	1524	1598	1031	1254	1168
ACP5	0	22	5	2	4	13
ACP6	489	384	94	643	471	687
ACPL2	854	2872	494	367	1019	838
ACPP	30	0	1	12	23	13
ACPT	0	0	0	0	0	1
ACRBP	9	11	4	25	4	25
ACRC	107	53	76	32	46	52
ACRV1	8	7	4	2	0	6
ACR	2	0	1	6	2	3
ACSBG1	0	3	7	6	14	7
ACSBG2	0	2	0	1	1	1
ACSF2	1280	1006	699	1229	1877	1162
ACSF3	804	837	545	764	258	554
ACSL1	1086	3544	2127	1528	755	1223
ACSL3	4729	1697	3412	2649	3582	2156
ACSL4	4843	10118	4955	5269	3903	4994
ACSL5	625	156	1348	730	764	555
ACSL6	1	1	9	44	2	1
ACSM1	0	0	0	2	6	0
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	28	4	45	157	140	135
ACSM4	0	0	0	0	0	0
ACSM5	0	2	1	7	109	0
ACSS1	237	178	136	843	398	136
ACSS2	4728	830	740	1892	781	697
ACSS3	743	165	681	429	41	609
ACTA1	0	3	0	1	1	0
ACTA2	157	323	1301	1947	1828	978
ACTBL2	0	764	20	826	231	111
ACTB	109059	210680	120712	146770	178013	158356
ACTC1	2	1	0	4	8	4
ACTG1	117478	273022	78832	117757	208837	188652
ACTG2	2	0	8	4	25	6
ACTL6A	6200	3265	1591	1787	1692	2047
ACTL6B	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0
ACTL7B	1	0	0	0	0	0
ACTL8	10	1	0	1	0	0
ACTL9	0	0	0	0	0	0
ACTN1	11631	42520	21424	16487	23163	22214
ACTN2	48	14	5	7	8	1
ACTN3	1	3	0	0	6	1
ACTN4	37781	47013	40122	34707	26598	34854
ACTR10	2790	3671	2604	2438	1927	1925
ACTR1A	4086	7648	4560	4931	4663	4363
ACTR1B	1005	1289	1712	2191	2589	3199
ACTR2	11694	14916	20838	12541	15042	12344
ACTR3B	394	210	380	399	171	190
ACTR3C	1	0	2	75	6	10
ACTR3	13451	9781	18628	7415	11585	8926
ACTR5	415	479	201	504	225	125
ACTR6	1079	606	732	967	782	715
ACTR8	682	1278	1207	1391	931	975
ACTRT1	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0
ACVR1B	1165	896	777	1224	721	621
ACVR1C	40	60	158	10	35	13
ACVR1	1946	833	3155	1919	1496	1979
ACVR2A	318	237	571	465	316	392
ACVR2B	124	203	138	442	354	526
ACVRL1	9	1	15	5	17	19
ACY1	680	926	1134	1403	1084	1205
ACY3	3	0	0	0	0	1
ACYP1	296	927	241	113	276	256
ACYP2	270	149	356	206	272	168
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	3	1
ADAL	423	558	637	578	482	286
ADAM10	5327	6437	4805	12010	10998	9258
ADAM11	61	112	11	56	15	15
ADAM12	44	6715	11700	10561	2889	4099
ADAM15	2957	1722	2550	3672	5384	5737
ADAM17	1718	1905	3208	2330	1613	1894
ADAM18	0	0	0	0	0	0
ADAM19	11514	8495	4035	1566	2128	4337
ADAM20	0	2	1	2	2	0
ADAM21P1	4	1	5	7	6	0
ADAM21	16	13	25	52	78	11
ADAM22	415	354	384	255	407	150
ADAM23	871	340	915	39	8	72
ADAM28	4	0	2	2	22	1
ADAM29	0	1	0	0	6	0
ADAM2	0	0	0	0	1	0
ADAM30	0	0	0	0	0	0
ADAM32	14	21	10	6	14	7
ADAM33	5	4	90	10	0	97
ADAM3A	0	0	0	0	0	0
ADAM5P	0	1	1	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	1	0
ADAM8	24	28	2078	52	248	303
ADAM9	18403	15094	19988	15493	22551	18387
ADAMDEC1	0	0	0	0	0	0
ADAMTS10	186	1	0	132	45	334
ADAMTS12	1688	5428	3917	3551	4832	3119
ADAMTS13	66	15	48	564	175	136
ADAMTS14	833	13625	3223	829	1140	910
ADAMTS15	28	35	171	2622	2228	1067
ADAMTS16	393	381	220	3	137	2
ADAMTS17	178	12	4	57	24	57
ADAMTS18	327	12	0	3	5	4
ADAMTS19	14	8	2	0	32	5
ADAMTS1	4144	43691	8962	10083	6079	6269
ADAMTS20	1	1	0	0	1	0
ADAMTS2	3	86	338	2786	5	6
ADAMTS3	1084	359	299	715	1315	493
ADAMTS4	5652	0	0	0	4	3
ADAMTS5	41	3053	4885	33294	8937	5124
ADAMTS6	916	1584	702	590	37	97
ADAMTS7	55	30	1659	690	829	622
ADAMTS8	2	0	2	2	1	1
ADAMTS9	18	105	675	381	4270	591
ADAMTSL1	11566	10526	6088	179	641	1744
ADAMTSL2	0	0	0	0	0	0
ADAMTSL3	3701	0	2	1028	1363	223
ADAMTSL4	354	47	10	667	298	868
ADAMTSL5	108	364	711	449	229	147
ADAP1	24	8	2	322	58	16
ADAP2	7	4	18	16	16	9
ADARB1	325	1013	736	1411	850	548
ADARB2	0	0	0	0	0	0
ADAR	27326	20507	9349	11583	16196	9305
ADAT1	765	1266	861	1106	358	659
ADAT2	319	236	298	158	197	174
ADAT3	246	256	36	77	87	59
ADA	817	181	54	1732	340	366
ADCK1	485	381	308	335	192	161
ADCK2	420	713	390	1355	773	806
ADCK4	978	573	528	895	565	746
ADCK5	199	240	283	253	183	176
ADCY10	3	6	5	1	5	2
ADCY1	146	1	1296	388	287	258
ADCY2	0	0	20	1	15	0
ADCY3	792	2204	404	818	224	738
ADCY4	1	0	0	1	16	2
ADCY5	14	12	8	26	57	5
ADCY6	1681	1947	2613	4438	3139	3234
ADCY7	1507	2637	1273	553	1304	1698
ADCY8	3	10	10	0	8	35
ADCY9	609	2904	3542	5232	4166	4215
ADCYAP1R1	2	1	9	0	22	4
ADCYAP1	2	1	0	1	0	0
ADC	313	226	221	514	286	304
ADD1	3610	13068	7577	10079	8043	9510
ADD2	1544	0	0	60	25	10
ADD3	1030	1246	308	2304	3340	1891
ADH1A	0	0	1	0	0	0
ADH1B	0	0	0	1	0	0
ADH1C	0	6	4	4	5	4
ADH4	0	0	0	0	0	0
ADH5	3503	10589	6500	5097	4459	4738
ADH6	0	3	2	0	0	1
ADH7	0	0	0	0	0	0
ADHFE1	21	10	91	90	108	222
ADI1	5610	2247	2088	1723	2149	1954
ADIG	1	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	6389	3671	3115	2999	5968	3514
ADIPOR2	4533	8627	2958	4750	2808	2441
ADK	3852	4787	1336	1077	975	1677
ADM2	1232	37	35	50	102	113
ADM	1194	1074	3968	110	1119	53
ADNP2	1068	1710	1331	1291	1778	1542
ADNP	6511	5220	4707	7398	4802	4608
ADORA1	9	2	638	1271	1476	1026
ADORA2A	73	66	6	14	14	26
ADORA2B	133	1063	446	269	728	634
ADORA3	0	0	0	2	0	0
ADO	2287	887	3445	1368	1594	1352
ADPGK	3115	1621	1726	1992	1933	1938
ADPRHL1	307	37	64	43	73	18
ADPRHL2	1137	2391	1296	1191	1276	1347
ADPRH	77	211	66	58	121	39
ADRA1A	0	0	0	0	0	0
ADRA1B	360	256	51	6	14	6
ADRA1D	15	202	0	2	1	0
ADRA2A	35	3	0	619	30	1
ADRA2B	7	0	0	2	6	1
ADRA2C	12	0	0	142	23	15
ADRB1	64	22	8	11	1	0
ADRB2	1957	503	24	533	269	722
ADRB3	0	0	0	0	0	0
ADRBK1	3920	2366	1397	1527	2178	1960
ADRBK2	308	401	588	144	402	343
ADRM1	8816	4988	3012	3169	2482	2494
ADSL	1944	2602	2368	1126	2011	2339
ADSSL1	134	36	84	74	251	97
ADSS	6063	2057	1923	2122	3059	2083
AEBP1	334	1569	839	1263	75	1630
AEBP2	1583	2336	1402	2110	1337	1152
AEN	1225	2030	2097	1866	1771	1428
AES	6240	10243	10466	10497	8731	9392
AFAP1L1	226	2049	487	1281	794	1840
AFAP1L2	1360	8	340	3302	6372	1510
AFAP1	2787	10612	2908	8572	4494	2893
AFARP1	8	3	1	1	0	3
AFF1	1133	3562	3782	15409	4461	4224
AFF2	0	0	128	2	876	715
AFF3	1198	5	4	464	1434	547
AFF4	7980	9274	6231	12552	6954	6802
AFG3L1	330	228	244	368	116	215
AFG3L2	2623	3168	2126	2691	2195	1802
AFMID	1933	665	204	239	347	427
AFM	0	0	0	0	0	0
AFP	303	174	448	2	29	13
AFTPH	708	807	1287	1380	1041	1205
AG2	7	73	0	51	23	7
AGAP11	14	9	9	35	21	296
AGAP1	1060	1240	1511	1402	1816	1394
AGAP2	2	173	5	61	24	4
AGAP3	1292	1893	1647	3028	1873	1728
AGAP4	134	91	149	264	117	73
AGAP5	281	223	190	163	125	111
AGAP6	459	222	490	393	175	185
AGAP7	102	2	75	8	64	0
AGAP8	133	130	92	97	41	170
AGA	420	692	773	455	360	490
AGBL1	0	0	0	0	0	0
AGBL2	9	49	51	76	11	16
AGBL3	18	2	13	6	8	5
AGBL4	3	0	1	2	15	1
AGBL5	968	1240	903	2234	2354	2096
AGER	110	37	78	104	125	107
AGFG1	4281	3465	3878	3953	2920	3073
AGFG2	1463	858	283	651	279	233
AGGF1	2181	3363	1726	3739	1854	1581
AGK	1744	941	1095	1302	1136	737
AGL	867	2333	1323	1289	633	580
AGMAT	136	143	2	28	21	69
AGPAT1	5708	3323	3573	3574	4321	3699
AGPAT2	681	1568	1025	1339	971	908
AGPAT3	1755	6064	3603	4359	4296	4372
AGPAT4	496	700	1720	882	1089	982
AGPAT5	3127	1272	2005	2603	848	1933
AGPAT6	4761	3682	3798	3545	3643	3484
AGPAT9	289	426	2132	152	981	710
AGPHD1	26	55	21	66	50	9
AGPS	3001	4432	3462	3415	2659	2858
AGR2	0	1	0	13	1123	202
AGR3	0	0	0	0	1	0
AGRN	3430	18055	38891	80260	47470	36467
AGRP	0	2	0	0	0	1
AGTPBP1	495	1731	693	1197	620	936
AGTR1	711	1673	884	17	0	15
AGTR2	0	0	0	0	0	0
AGTRAP	1610	1684	1087	1004	836	970
AGT	0	2	18	293	18	3
AGXT2L1	0	1	2	0	6	0
AGXT2L2	765	404	414	1105	413	501
AGXT2	40	1	2	2	73	7
AGXT	0	0	0	0	0	1
AHCTF1	8618	3851	3549	3471	4200	2787
AHCYL1	6482	5873	6298	6181	8309	8557
AHCYL2	1339	906	797	1535	1041	809
AHCY	12294	8670	4687	12647	8025	5801
AHDC1	269	806	2065	3856	2767	2848
AHI1	4089	958	770	646	869	745
AHNAK2	20607	14596	4626	4464	10125	10243
AHNAK	6484	58298	28976	64682	43754	75160
AHRR	92	597	3838	624	162	2359
AHR	2647	1692	3608	5532	3246	6565
AHSA1	6183	5308	3151	2885	2116	1897
AHSA2	894	577	1200	2386	1146	1530
AHSG	0	0	1	0	3	0
AHSP	1	0	0	0	0	0
AICDA	24	12	0	0	12	0
AIDA	5262	4082	4705	3759	4797	5211
AIF1L	89	46	0	996	790	2692
AIF1	4	0	0	0	0	0
AIFM1	1794	2185	1132	1221	1265	701
AIFM2	429	842	1090	826	270	616
AIFM3	4	4	28	6	11	31
AIG1	393	950	978	889	1041	1426
AIM1L	3	7	2	12	5	1
AIM1	85	630	1166	874	880	5080
AIM2	7	163	245	2	7	2
AIMP1	2069	2962	1972	1965	1758	1376
AIMP2	1600	1336	542	1468	673	486
AIPL1	0	5	3	0	0	0
AIP	3662	2348	1468	1797	1813	1879
AIRE	0	0	0	2	0	0
AJAP1	3	7	2	105	0	0
AK1	600	1615	945	1278	1054	2396
AK2	5922	10423	5223	5292	4025	3406
AK3L1	960	6633	2117	6717	4403	3753
AK3	1853	1500	1887	2401	3562	3825
AK5	320	5421	2027	32	335	566
AK7	2	6	4	22	5	10
AKAP10	952	1739	841	1298	1250	1363
AKAP11	2110	2262	3868	3669	3504	4389
AKAP12	19497	15850	1354	7410	1839	1820
AKAP13	2952	2113	2712	3810	2580	2988
AKAP14	1	0	0	1	1	0
AKAP1	2781	2165	811	1264	1036	1020
AKAP2	8121	17136	5224	10673	2886	5396
AKAP3	4	102	42	90	17	18
AKAP4	1	0	0	0	0	0
AKAP5	105	299	40	68	113	99
AKAP6	839	32	1024	336	100	46
AKAP7	138	121	100	124	136	230
AKAP8L	1699	2011	1431	1519	2079	1212
AKAP8	1905	1241	1348	1222	886	852
AKAP9	1987	2459	1833	3317	2107	2718
AKD1	71	128	78	262	130	201
AKIRIN1	6919	4794	4282	2699	3421	1652
AKIRIN2	1927	702	2256	1511	1372	1059
AKNAD1	12	2	10	0	2	0
AKNA	263	468	1085	1113	2763	1925
AKR1A1	2581	3752	3252	1485	3106	2524
AKR1B10	15	21	1220	56	115	136
AKR1B15	0	0	248	2	7	2
AKR1B1	3108	5771	32391	7984	26331	14188
AKR1C1	3348	154	14611	5	63	62
AKR1C2	319	160	3261	4	66	9
AKR1C3	984	239	27932	350	398	587
AKR1C4	0	0	2	0	0	0
AKR1CL1	6	0	5	0	0	0
AKR1D1	0	0	0	0	0	0
AKR1E2	2	0	7	14	0	4
AKR7A2	1467	2700	1720	2101	2375	2111
AKR7A3	12	18	6	10	7	9
AKR7L	7	15	16	4	7	2
AKT1S1	5723	3324	2577	3137	2759	2523
AKT1	8194	9366	6576	5375	6438	6737
AKT2	4643	5873	3707	5338	5705	6003
AKT3	4839	4981	2691	3589	3337	4753
AKTIP	672	1153	623	763	271	726
ALAD	1614	2378	1565	1624	1590	2082
ALAS1	2506	2258	2226	791	1434	742
ALAS2	0	0	0	0	0	1
ALB	4	28	3	6	5	2
ALCAM	17345	26950	21349	21217	10507	24426
ALDH16A1	3144	674	722	1147	1047	815
ALDH18A1	7805	4278	5578	5454	6849	4824
ALDH1A1	33296	176	604	13	178	11
ALDH1A2	12	1	3	14	22	2
ALDH1A3	24719	23692	3442	332	1538	584
ALDH1B1	1449	4516	2544	2365	4800	756
ALDH1L1	2	2	5	10	1	0
ALDH1L2	8698	152	2573	378	223	185
ALDH2	3431	641	1564	4090	2257	3065
ALDH3A1	1	0	9	49	179	26
ALDH3A2	1584	1114	7648	1508	1453	4851
ALDH3B1	558	216	1502	4716	1476	2481
ALDH3B2	0	0	0	0	1	1
ALDH4A1	883	717	519	1215	645	448
ALDH5A1	350	90	95	456	596	152
ALDH6A1	447	1293	590	1234	1387	1526
ALDH7A1	2743	3700	1128	5420	2801	2175
ALDH8A1	5	13	4	2	9	6
ALDH9A1	2948	3080	3839	2144	3766	3068
ALDOA	52603	42421	43134	41928	48514	45604
ALDOB	0	1	0	6	1	2
ALDOC	12	18	1	6	39	317
ALG10B	871	205	324	894	518	612
ALG10	350	399	142	197	149	195
ALG11	525	355	569	614	699	392
ALG12	530	1242	737	791	1101	989
ALG13	1559	1004	1151	949	1070	838
ALG14	242	137	312	283	359	259
ALG1L2	0	0	0	0	0	0
ALG1L	2	1	3	18	3	1
ALG1	1663	1833	906	1355	731	794
ALG2	2260	2410	1663	1692	1102	1053
ALG3	5669	1996	1708	1307	1177	827
ALG5	500	950	965	997	805	777
ALG6	871	628	502	524	510	341
ALG8	1218	1796	1409	1484	842	833
ALG9	959	1501	1034	1200	1102	1104
ALKBH1	751	551	296	362	331	328
ALKBH2	1041	575	439	518	422	367
ALKBH3	388	763	666	503	333	335
ALKBH4	269	399	377	667	552	395
ALKBH5	3145	4642	3166	3439	4745	4255
ALKBH6	670	531	365	244	211	248
ALKBH7	506	1353	711	1131	1204	971
ALKBH8	677	807	755	384	297	359
ALK	2	0	2	133	44	91
ALLC	0	0	0	0	0	0
ALMS1P	2	7	6	2	1	2
ALMS1	978	840	1013	939	873	1263
ALOX12B	1	0	0	0	5	0
ALOX12P2	0	1	9	6	25	9
ALOX12	2	2	9	9	13	10
ALOX15B	1	0	0	1	12	45
ALOX15	0	0	1	4	0	0
ALOX5AP	4	8	122	15	1038	18
ALOX5	12	0	0	34	196	272
ALOXE3	20	47	2	12	6	0
ALPI	0	0	0	0	0	0
ALPK1	327	435	596	748	485	391
ALPK2	101	54	56	2484	4118	6
ALPK3	82	24	37	48	16	36
ALPL	34	82	3	37	5	1
ALPPL2	0	1	0	0	0	0
ALPP	1	0	0	81	0	0
ALS2CL	55	46	270	420	982	446
ALS2CR11	1	308	4	22	8	62
ALS2CR12	19	18	23	17	7	8
ALS2CR4	926	2886	1633	1613	1235	1479
ALS2CR8	167	305	244	652	354	486
ALS2	1874	2515	3042	2479	1733	1794
ALX1	37	76	2	32	37	1
ALX3	40	59	38	44	35	36
ALX4	1	5	0	123	19	1
AMAC1L2	1	1	1	1	4	1
AMAC1L3	1	0	0	2	0	0
AMAC1	0	0	0	0	0	0
AMACR	1247	1008	541	510	359	1974
AMBN	0	0	0	0	0	0
AMBP	0	3	671	6	4	0
AMBRA1	923	1569	1024	1484	1162	1307
AMD1	5708	3486	3757	2742	2562	1983
AMDHD1	107	26	178	48	11	2
AMDHD2	241	431	185	479	199	497
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMFR	4274	5850	3529	4445	1980	4286
AMHR2	0	0	0	0	1	0
AMH	7	185	9	251	104	43
AMICA1	1	0	0	0	0	0
AMIGO1	90	45	8	263	66	58
AMIGO2	935	7495	1769	3489	3922	4796
AMIGO3	124	544	261	210	198	152
AMMECR1L	1955	781	1547	1789	1297	1166
AMMECR1	1019	662	897	593	732	529
AMN1	243	333	232	231	447	203
AMN	0	0	1	0	0	2
AMOTL1	1119	7766	2338	3330	2650	6469
AMOTL2	15198	8195	3732	24574	7908	4882
AMOT	19	1375	758	1268	1007	1666
AMPD1	0	1	2	0	0	0
AMPD2	4216	3555	3334	2327	2351	2237
AMPD3	529	229	1796	124	452	625
AMPH	94	1	147	1704	907	1
AMTN	0	0	1	0	63	0
AMT	49	65	89	191	109	230
AMY1A	0	0	0	0	0	0
AMY2A	0	0	0	1	3	0
AMY2B	55	86	14	213	130	101
AMZ1	3	4	9	26	4	11
AMZ2P1	198	137	88	259	127	124
AMZ2	2893	2815	2025	2881	2435	2107
ANAPC10	428	529	395	357	359	337
ANAPC11	2399	3205	1677	1432	1871	2036
ANAPC13	2678	3776	3882	2425	1694	2281
ANAPC16	3218	3843	2472	3487	3236	2098
ANAPC1	3023	2072	2445	2779	2279	2160
ANAPC2	616	1806	803	1224	856	1003
ANAPC4	640	1130	947	669	552	563
ANAPC5	7415	3437	4649	4178	3495	3006
ANAPC7	3959	1795	2318	1940	1726	1300
ANGEL1	1555	1213	776	999	1129	605
ANGEL2	1601	1022	1000	1152	1424	952
ANGPT1	49	2142	1192	115	182	186
ANGPT2	260	0	3	2	2	2
ANGPT4	2	6	5	18	2	9
ANGPTL1	4	3	402	30	140	73
ANGPTL2	161	350	2259	138	1535	10461
ANGPTL3	0	1	0	0	0	0
ANGPTL4	2468	1654	8166	1337	9569	1628
ANGPTL5	0	0	1	0	0	2
ANGPTL6	21	9	0	12	19	6
ANGPTL7	0	0	0	6	1	0
ANG	162	129	37	162	127	175
ANK1	522	8	58	396	684	216
ANK2	876	1103	1460	631	954	359
ANK3	2850	1906	1605	977	2149	138
ANKAR	44	31	43	53	10	40
ANKDD1A	22	51	31	73	56	146
ANKFN1	60	146	2	1	6	1
ANKFY1	2314	5738	4091	4283	3526	3410
ANKHD1-EIF4EBP3	1360	1326	1043	3196	953	1419
ANKHD1	5086	5330	2648	4709	2768	2461
ANKH	2154	3690	4388	1161	1957	4131
ANKIB1	2686	3722	4211	5866	3590	3373
ANKK1	0	2	15	1	16	8
ANKLE1	272	11	22	16	24	24
ANKLE2	3039	2269	3060	6305	5038	3110
ANKMY1	286	140	194	304	154	246
ANKMY2	456	970	1239	1481	1027	1420
ANKRA2	577	519	721	703	692	521
ANKRD10	547	695	1179	1213	996	1622
ANKRD11	8857	7534	7218	5865	2463	5214
ANKRD12	941	1424	1596	1987	1332	2075
ANKRD13A	1842	3369	1680	4959	1754	2993
ANKRD13B	212	644	247	483	412	307
ANKRD13C	1850	2266	2290	1790	994	1140
ANKRD13D	1164	779	711	502	713	902
ANKRD16	291	128	127	205	196	123
ANKRD17	4205	7062	6128	5314	6310	4735
ANKRD19	5	10	5	9	13	5
ANKRD1	5576	762	2	2169	4418	135
ANKRD20A3	12	25	9	7	7	48
ANKRD20A4	12	17	7	8	4	28
ANKRD20B	0	4	0	1	3	1
ANKRD22	183	1	0	0	2	3
ANKRD23	59	35	56	51	52	44
ANKRD24	21	16	33	85	56	55
ANKRD26P1	8	1	0	0	1	0
ANKRD26	768	846	678	840	684	655
ANKRD27	1360	2717	2139	1135	1132	1015
ANKRD28	1496	3956	6003	5133	2627	8187
ANKRD29	208	182	442	25	142	404
ANKRD2	4	2	4	11	16	2
ANKRD30A	0	0	0	0	0	0
ANKRD30B	0	17	30	144	108	196
ANKRD31	11	11	7	23	0	3
ANKRD32	936	881	471	678	401	502
ANKRD33	1	0	0	1	1	0
ANKRD34A	130	316	263	78	66	88
ANKRD34B	3	4	3	61	60	2
ANKRD34C	0	0	0	5	0	0
ANKRD35	9	2	0	1	8	5
ANKRD36BP1	361	181	184	223	235	193
ANKRD36B	108	119	136	132	113	317
ANKRD36	110	120	145	185	104	203
ANKRD37	26	210	118	136	80	95
