gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
C8orf51	20	7	15	76	45	21
C8orf55	498	1785	610	942	353	731
C8orf56	0	1	4	0	1	2
C8orf58	1151	562	490	621	401	532
C8orf59	670	932	734	741	606	516
C8orf71	0	1	0	0	0	0
C8orf73	47	69	37	70	63	74
C8orf74	0	0	0	0	0	0
C8orf75	0	0	6	1	0	1
C8orf76	676	758	635	455	409	419
C8orf77	2	10	5	14	1	5
C8orf79	48	20	29	151	377	118
C8orf80	2	0	1	0	0	3
C8orf83	810	1157	1592	1503	1284	1496
C8orf84	18	22	35	20	10	32
C8orf85	136	0	0	3	29	2
C8orf86	0	0	0	0	0	0
C9orf100	356	167	146	183	161	86
C9orf102	421	1380	698	1215	636	800
C9orf103	54	117	75	68	27	98
C9orf106	0	0	0	0	0	0
C9orf109	584	0	597	6	0	52
C9orf110	15	13	127	0	0	0
C9orf114	899	1983	1050	1174	792	882
C9orf116	76	66	84	113	87	147
C9orf117	61	93	54	75	44	57
C9orf119	824	1256	834	580	821	829
C9orf11	1	1	0	0	0	0
C9orf122	15	242	0	5	53	18
C9orf123	1626	1570	1005	978	1565	1300
C9orf125	144	4	0	73	241	620
C9orf128	0	0	0	0	0	0
C9orf129	0	0	0	0	0	0
C9orf130	187	107	192	194	123	140
C9orf131	0	0	0	1	0	0
C9orf135	0	0	0	1	0	0
C9orf139	1	2	0	1	6	1
C9orf140	613	1903	355	847	872	1405
C9orf142	144	608	482	378	274	336
C9orf144B	0	1	1	1	1	3
C9orf144	0	0	0	0	0	0
C9orf150	1026	418	77	314	374	399
C9orf152	1	5	1	2	2	1
C9orf153	12	2	1	0	0	1
C9orf156	643	413	259	477	222	260
C9orf163	12	15	10	36	13	31
C9orf167	3035	3353	1253	1534	1760	3113
C9orf169	25	63	10	98	72	105
C9orf16	1184	1451	970	883	914	876
C9orf170	1	7	4	3	1	0
C9orf171	3	8	0	8	1	4
C9orf172	22	170	122	127	155	86
C9orf173	0	11	0	3	3	10
C9orf21	442	332	145	358	184	240
C9orf23	843	1413	357	557	534	223
C9orf24	4	3	2	1	2	2
C9orf25	1902	606	766	510	982	236
C9orf27	0	0	0	0	0	0
C9orf30	2251	2865	1350	1332	1505	1606
C9orf37	297	1015	320	509	537	448
C9orf3	129	2328	953	1058	998	885
C9orf40	857	1446	502	432	223	498
C9orf41	1228	1546	796	807	466	938
C9orf43	15	70	19	37	16	12
C9orf44	0	0	17	16	3	14
C9orf45	27	17	53	113	160	62
C9orf46	631	1431	717	389	712	783
C9orf47	22	6	10	4	5	2
C9orf4	13	0	0	3	7	0
C9orf50	1	1	7	12	5	9
C9orf53	19	7	0	0	5	0
C9orf57	2	0	0	0	0	0
C9orf5	7029	5750	4964	6732	3643	7049
C9orf64	688	995	471	916	6	396
C9orf66	0	0	0	0	0	0
C9orf68	11	3	32	9	11	4
C9orf69	1588	1981	1128	1448	1381	1810
C9orf6	828	459	709	576	313	380
C9orf70	0	1	0	1	1	0
C9orf71	0	0	0	0	0	0
C9orf72	595	653	182	325	795	214
C9orf78	1733	2866	1437	1911	1117	1528
C9orf79	0	0	2	0	0	0
C9orf7	303	344	331	1185	521	557
C9orf80	569	658	502	500	323	392
C9orf82	1189	1182	756	1024	772	387
C9orf84	1	144	0	59	14	6
C9orf85	261	296	187	225	83	188
C9orf86	2277	4447	2126	3428	2874	4312
C9orf89	717	959	1308	500	671	2155
C9orf91	869	601	525	788	403	479
C9orf93	107	173	64	153	89	154
C9orf95	344	401	619	451	331	614
C9orf96	9	23	10	21	8	21
C9orf98	4	30	7	87	13	31
C9orf9	32	112	52	69	118	150
C9	0	8	1	0	0	0
CA10	4	0	248	0	13	1
CA11	101	60	97	322	132	359
CA12	5455	7416	4743	166	1550	3910
CA13	39	328	325	303	322	312
CA14	3	8	0	3	2	13
CA1	2	0	0	0	0	0
CA2	54	361	29	14	18	28
CA3	12	13	19	20	13	90
CA4	2	0	0	0	0	0
CA5A	0	1	0	0	0	0
CA5BP	393	279	165	157	180	141
CA5B	324	160	61	362	178	408
CA6	7	0	0	0	0	0
CA7	17	3	2	2	3	2
CA8	106	0	0	0	97	0
CA9	2	152	26	67	454	11
CAB39L	257	294	286	361	330	273
CAB39	3519	4898	4958	2958	3031	3161
CABC1	1822	420	199	901	372	452
CABIN1	1469	2317	1768	1203	2542	2725
CABLES1	535	1820	202	394	1004	1919
CABLES2	1318	1217	443	922	466	509
CABP1	4	1	1	1	1	0
CABP2	6	0	0	0	0	0
CABP4	0	1	0	1	0	1
CABP5	0	1	0	0	0	0
CABP7	43	54	1	3	0	3
CABYR	48	88	10	70	5	188
CACHD1	2306	590	314	177	165	378
CACNA1A	177	1	3	535	1380	23
CACNA1B	109	2	1	0	3	0
CACNA1C	2	0	0	145	5	9
CACNA1D	6	1	1	72	13	16
CACNA1E	0	1	3	1	13	0
CACNA1F	2	0	0	1	0	0
CACNA1G	22	11	210	70	62	15
CACNA1H	151	0	0	656	14	7
CACNA1I	2	2	0	1	45	8
CACNA1S	0	0	0	0	0	0
CACNA2D1	3295	1199	2035	926	4175	1830
CACNA2D2	35	5	7	27	16	15
CACNA2D3	0	15	2057	125	280	219
CACNA2D4	1	2	23	2	3	17
CACNB1	294	220	253	303	355	418
CACNB2	12	6	11	109	32	57
CACNB3	192	921	733	1243	778	964
CACNB4	17	13	82	104	339	17
CACNG1	0	0	0	0	0	0
CACNG2	0	0	0	0	0	0
CACNG3	0	0	0	1	0	0
CACNG4	3	0	0	79	1	100
CACNG5	0	0	0	0	0	0
CACNG6	2423	43	0	2	3	0
CACNG7	454	950	1	39	1	2
CACNG8	1524	624	0	135	30	0
CACYBP	5325	4197	3106	2520	2422	2656
CADM1	178	3658	11640	3599	1648	3215
CADM2	40	52	26	241	718	81
CADM3	45	14	3	11312	1165	146
CADM4	239	367	79	748	128	86
CADPS2	972	1121	1319	1484	726	813
CADPS	4	644	1550	1	4	0
CAD	9742	5083	4091	3707	3529	3232
CAGE1	4	0	3	3	2	0
CALB1	13	0	0	10	6	2
CALB2	7	8	595	19	12	934
CALCA	0	0	0	72	46	18
CALCB	2	3	2	3373	113	2
CALCOCO1	1491	890	2285	5869	2945	3610
CALCOCO2	4876	3832	2927	3032	2580	2725
CALCRL	28	558	2698	75	216	789
CALCR	5	0	3	0	6	0
CALD1	8160	29725	20486	20943	11524	14825
CALHM1	0	0	0	0	0	0
CALHM2	61	33	17	33	135	59
CALHM3	0	0	0	0	3	1
CALM1	13489	16115	15417	8002	8101	9981
CALM2	34895	19714	32081	16862	13347	16993
CALM3	13419	15012	5470	10878	16123	15443
CALML3	3	0	0	0	0	0
CALML4	166	338	146	261	224	234
CALML5	0	0	0	0	0	23
CALML6	2	0	0	3	4	4
CALN1	0	1	0	1	0	0
CALR3	1	1	0	0	1	0
CALR	71306	38145	22455	31796	57456	45259
CALU	35443	17413	37191	29073	31090	24625
CALY	2	0	0	0	9	4
CAMK1D	483	5147	2166	1512	686	2423
CAMK1G	5	269	6	0	73	218
CAMK1	277	512	321	286	394	720
CAMK2A	0	0	17	51	3	47
CAMK2B	1	4	4	77	24	251
CAMK2D	1943	3812	2127	2552	1742	4614
CAMK2G	3276	4805	1783	1411	2027	1533
